pt1_X,pt1_Y,pt2_X,pt2_Y,pt3_X,pt3_Y,pt4_X,pt4_Y,pt5_X,pt5_Y
745.100000,901.340000,804.660000,903.420000,926.147194,887.147669,958.551697,870.666372,982.672297,861.838874
744.370000,900.920000,803.910000,903.360000,924.803198,892.009041,958.335500,872.019844,982.672297,861.838874
744.140000,900.210000,803.070000,903.320000,924.803198,892.009041,958.875992,873.012389,982.672297,861.838874
743.870000,899.910000,802.270000,903.150000,924.803198,893.878800,960.713664,876.170489,981.793077,861.838874
743.440000,899.610000,801.370000,902.920000,924.803198,895.000655,961.362254,878.606738,981.541872,861.943716
742.780000,899.150000,800.550000,902.780000,924.803198,895.748559,961.578450,880.591829,982.044283,863.411515
742.010000,899.020000,800.110000,902.520000,923.907201,899.488076,962.335138,882.847615,983.300311,865.088998
741.140000,898.920000,799.800000,902.040000,923.907201,900.235980,963.416122,884.471781,985.058751,867.605224
740.350000,898.910000,798.950000,901.760000,922.563205,901.357835,963.848515,886.276410,986.817191,873.371574
740.070000,899.000000,798.220000,901.210000,919.875213,901.731787,965.037597,888.712658,986.817191,875.573271
739.710000,899.120000,797.300000,900.890000,919.875213,902.105739,965.902383,891.960990,985.686765,878.194340
738.960000,899.560000,796.530000,900.470000,917.187221,903.975497,968.064350,896.111636,985.561163,880.500880
738.210000,900.280000,796.070000,899.770000,916.291224,905.097353,970.010119,899.630661,985.937971,882.073521
737.410000,901.200000,795.780000,899.070000,913.603232,907.341063,970.983004,903.691076,972.624039,904.972974
737.010000,902.140000,794.930000,898.410000,912.707235,908.088967,962.999782,911.199387,973.146204,905.844694
736.760000,903.090000,794.030000,898.130000,911.811237,908.836870,962.039992,912.089557,974.712700,908.023993
736.000000,903.950000,793.160000,897.740000,910.467242,908.836870,960.120411,916.006303,974.712700,918.048770
735.270000,904.900000,792.380000,897.480000,909.123246,908.836870,960.440341,917.786642,974.712700,918.920490
735.040000,905.410000,792.130000,897.180000,907.331251,906.967111,960.973558,921.436337,973.146204,921.099789
734.930000,906.110000,791.940000,896.950000,907.331251,905.471304,957.667614,924.729964,971.057543,921.971509
734.800000,906.860000,791.690000,896.850000,907.331251,902.479690,956.921110,925.798167,967.924551,921.971509
734.720000,907.370000,790.870000,896.780000,907.331251,901.357835,956.281250,926.955387,963.225064,923.714948
734.610000,907.600000,790.120000,896.820000,908.227248,899.862028,954.788243,928.557693,960.092072,925.458387
734.560000,907.820000,789.530000,896.820000,908.227248,899.488076,953.935096,929.714913,956.436915,925.458387
733.910000,907.770000,789.340000,896.770000,908.227248,898.366221,949.136145,926.065218,953.826089,922.407368
733.150000,907.800000,789.250000,896.730000,908.227248,898.366221,949.989292,924.284879,952.781758,915.869471
732.790000,907.740000,789.160000,896.690000,908.675247,894.252752,950.735795,921.169286,952.781758,913.254312
732.550000,907.550000,789.120000,896.670000,908.675247,893.878800,951.269012,920.279116,952.781758,912.818452
732.340000,907.160000,789.060000,896.580000,908.675247,892.009041,951.908872,918.943862,961.658568,912.382592
732.170000,906.860000,789.030000,896.540000,908.675247,890.139283,952.335446,917.875659,966.880221,914.561891
732.030000,906.470000,789.000000,896.330000,908.227248,887.521620,953.081949,916.273354,966.880221,914.561891
731.920000,905.790000,788.920000,896.240000,908.227248,886.399765,954.468313,914.671048,967.924551,912.382592
731.660000,905.070000,788.880000,896.200000,908.227248,885.277910,957.241040,911.555455,969.491047,908.459853
730.980000,904.230000,788.810000,896.140000,910.467242,882.660248,957.667614,900.962438,971.057543,904.101255
730.330000,903.270000,788.780000,896.150000,910.915240,880.790489,950.752911,889.946316,975.234865,894.948198
730.150000,902.480000,788.780000,896.160000,905.987255,877.798875,954.797459,888.445849,975.757031,886.666860
729.970000,901.830000,788.760000,896.180000,903.747262,879.668634,957.943219,885.069799,975.234865,881.872402
729.930000,900.750000,790.113799,896.059581,899.267276,880.790489,959.291402,880.193282,975.234865,880.128963
729.850000,899.660000,790.170000,896.020000,899.267276,880.790489,960.190190,876.817232,974.712700,877.513803
729.820000,898.550000,789.850000,896.030000,888.515309,885.277910,961.538373,873.441182,973.668369,874.462784
729.820000,897.360000,789.780000,896.050000,888.515309,885.277910,961.088979,868.939782,973.146204,871.411765
729.960000,896.260000,789.750000,896.050000,888.067310,886.399765,955.246853,863.688148,972.624039,869.668326
730.090000,895.510000,789.730000,896.100000,888.067310,886.399765,952.101094,863.313031,968.446717,860.951129
730.290000,894.950000,789.760000,896.120000,888.963307,886.773717,950.303517,862.562798,967.402386,859.207690
730.590000,894.180000,788.257131,897.609373,890.307303,888.269524,943.562603,862.187681,965.835890,856.592530
731.180000,893.720000,787.880000,898.180000,889.411306,891.261138,943.562603,862.187681,964.269394,853.977371
731.980000,893.760000,788.250000,898.200000,889.411306,891.261138,943.562603,862.187681,960.614237,852.669792
732.740000,894.080000,788.590000,897.980000,889.411306,892.009041,944.011997,865.188615,960.092072,852.233932
733.490000,894.440000,789.310000,897.940000,892.547296,893.130897,944.461391,867.064198,960.092072,852.233932
733.800000,894.880000,790.140000,897.990000,892.995295,894.252752,945.360180,867.814431,960.092072,852.233932
734.120000,895.350000,791.040000,897.980000,893.443293,895.000655,948.955334,871.565598,961.658568,853.541511
734.410000,896.090000,791.970000,898.020000,893.891292,895.000655,952.101094,874.566532,966.880221,860.079409
735.180000,897.040000,792.940000,898.010000,897.475281,894.252752,952.999882,875.316765,967.402386,860.515269
736.040000,898.130000,793.890000,898.050000,897.923280,894.252752,952.999882,873.441182,970.923838,859.245556
736.970000,899.450000,794.810000,898.000000,897.923280,894.252752,952.999882,873.441182,970.679349,860.470029
737.810000,900.180000,795.740000,898.000000,897.923280,894.252752,955.246853,877.192349,970.679349,863.531212
738.820000,901.200000,800.634922,897.092776,897.923280,894.252752,957.943219,880.943516,974.102194,872.102525
739.780000,902.080000,802.530000,896.620000,897.923280,893.878800,963.335950,886.570266,975.324639,878.837127
740.700000,903.180000,803.260000,896.630000,902.851265,892.382993,963.335950,886.945383,975.324639,882.714626
741.650000,904.340000,803.900000,896.900000,902.851265,892.382993,968.279286,891.446783,976.547083,887.816598
