eye_X,eye_Y,eye_Z,snout_X,snout_Y,snout_Z,peduncle_X,peduncle_Y,peduncle_Z,dorsaltip_X,dorsaltip_Y,dorsaltip_Z,analtip_X,analtip_Y,analtip_Z,caudaltip_X,caudaltip_Y,caudaltip_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z
0.464165,5.488401,4.728765,0.173952,6.018478,4.938427,7.24023,4.911059,1.741933,7.21764,4.557804,2.382148,7.679346,5.360372,1.363934,8.558108,6.075694,1.981274,0.895985,4.995045,2.868656,1.143897,5.429487,3.781878,1.295947,5.960743,3.838139,1.965591,6.181856,3.352874,5.586514,4.412413,1.274243,5.013303,4.410992,1.674428,5.596212,4.807267,1.326157,5.067573,4.662024,1.757351
0.464007,5.489833,4.734342,0.173861,6.007584,4.938001,7.215366,4.905252,1.740594,7.213716,4.557926,2.379507,7.671709,5.348891,1.362328,8.558108,6.075694,1.981274,1.009044,5.020749,2.848853,1.143897,5.429487,3.781878,1.296061,5.994012,3.839767,1.945716,6.233464,3.413983,5.583908,4.400809,1.273255,4.997997,4.410899,1.675077,5.580833,4.807204,1.326714,5.067573,4.662024,1.757351
0.461142,5.488014,4.740171,0.173861,6.007584,4.938001,7.212287,4.899534,1.739989,7.212449,4.558139,2.374474,7.665851,5.335683,1.362549,8.558108,6.075694,1.981274,1.12499,5.04624,2.844226,1.143942,5.440587,3.782425,1.29162,5.993291,3.845582,1.898392,6.343647,3.422234,5.569905,4.401003,1.272428,4.997997,4.410899,1.675077,5.580833,4.807204,1.326714,5.067449,4.662473,1.746698
0.460734,5.487846,4.744064,0.173925,5.974582,4.942157,7.216719,4.911123,1.740946,7.206419,4.535065,2.372835,7.660482,5.319237,1.359503,8.557809,6.074913,1.994396,1.291411,5.073061,2.822987,1.143988,5.451688,3.782972,1.29162,5.993291,3.845582,1.843137,6.438742,3.324848,5.556644,4.400854,1.277759,4.990345,4.410852,1.675406,5.562056,4.806858,1.337044,5.06454,4.662968,1.73587
0.46085,5.479719,4.750446,0.169131,5.963088,4.957603,7.216719,4.911123,1.740946,7.19749,4.535116,2.372983,7.655452,5.304529,1.356361,8.55746,6.074003,2.009703,1.403434,5.097561,2.806036,1.143988,5.451688,3.782972,1.29162,5.993291,3.845582,1.811273,6.474158,3.281918,5.548242,4.400975,1.277266,4.981971,4.411003,1.674884,5.546714,4.806558,1.342954,5.058682,4.675062,1.725637
0.455874,5.47921,4.75624,0.169469,5.96277,4.963037,7.214111,4.900958,1.740255,7.197465,4.535013,2.375475,7.647058,5.337382,1.357434,8.569347,6.07198,2.047344,1.506643,5.086772,2.804304,1.143988,5.451688,3.782972,1.291658,6.004379,3.846124,1.743306,6.551267,3.269636,5.534946,4.401036,1.277227,4.970805,4.411208,1.674193,5.539027,4.806525,1.343241,5.058682,4.675062,1.725637
0.453111,5.484019,4.762029,0.169469,5.96277,4.963037,7.203911,4.893553,1.734295,7.194341,4.500373,2.373241,7.646112,5.326041,1.349561,8.653038,6.046891,2.074075,1.552558,5.062619,2.80548,1.143988,5.451688,3.782972,1.292175,6.003773,3.856436,1.664704,6.62887,3.247508,5.534946,4.401036,1.277227,4.968014,4.41126,1.674021,5.539027,4.806525,1.343241,5.058682,4.675062,1.725637
0.448305,5.487539,4.765217,0.170647,5.959322,4.995216,7.200942,4.911405,1.735281,7.190915,4.477185,2.374195,7.64863,5.319876,1.347276,8.695886,6.023335,2.074478,1.568892,4.994282,2.802828,1.144255,5.451419,3.788161,1.292175,6.003773,3.856436,1.619543,6.672581,3.242634,5.519556,4.400994,1.277811,4.944335,4.411318,1.674151,5.531339,4.806492,1.34353,5.055836,4.675334,1.720135
0.444018,5.492776,4.767179,0.171697,5.958236,5.011502,7.200294,4.902379,1.734704,7.187512,4.454098,2.372657,7.631953,5.220932,1.34208,8.718124,6.023252,2.074374,1.520059,4.955664,2.824286,1.144255,5.451419,3.788161,1.29225,6.025946,3.857518,1.618115,6.696996,3.212872,5.51186,4.400973,1.278107,4.935961,4.411477,1.673634,5.531339,4.806492,1.34353,5.050268,4.675426,1.71979
0.449656,5.462808,4.769241,0.172331,5.958066,5.011453,7.199699,4.853255,1.731316,7.187787,4.442543,2.371963,7.632369,5.185813,1.340352,8.72329,6.012088,2.067246,1.468227,4.946251,2.982317,1.13909,5.45143,3.792938,1.29225,6.025946,3.857518,1.541129,6.731214,3.168253,5.51186,4.400973,1.278107,4.935961,4.411477,1.673634,5.531339,4.806492,1.34353,5.0447,4.67552,1.719447
